,ids,labels,parents,text,values
0,"['moggy', 'moggy|Administrative Support Challenges', 'moggy|Administrative Support Challenges|Administrative Support Issues', 'moggy|Administrative Support Challenges|Administrative Support Issues|Administrative Support Issues', 'moggy|Administrative Support Challenges|Administrative Support Issues|Administrative Support Issues|Once the study... all of those staff move onto their next contract.', 'moggy|Administrative Support Challenges|Administrative Support Issues|Administrative Support Issues|Once the study... all of those staff move onto their next contract.|uni002_transcribed_anonymised_final_initial_codes.csv']","['moggy', 'Administrative Support Challenges', 'Administrative Support Issues', 'Administrative Support Issues', 'Once the study... all of those staff move onto their next contract.', 'uni002_transcribed_anonymised_final_initial_codes.csv']","['', 'moggy', 'moggy|Administrative Support Challenges', 'moggy|Administrative Support Challenges|Administrative Support Issues', 'moggy|Administrative Support Challenges|Administrative Support Issues|Administrative Support Issues', 'moggy|Administrative Support Challenges|Administrative Support Issues|Administrative Support Issues|Once the study... all of those staff move onto their next contract.']","['', 'This theme captures the difficulties faced by researchers due to insufficient administrative support after clinical trials conclude. The lack of ongoing assistance can hinder project continuity and affect the overall success of research initiatives. Addressing these challenges is crucial for ensuring that trials are effectively managed and that researchers can focus on their scientific objectives without administrative burdens.', 'Discusses the lack of ongoing administrative support for researchers after trials conclude, affecting project continuity.', '', '', '']","[1, 1, 1, 1, 1, 1]"
1,"['moggy', 'moggy|Administrative Support Challenges', 'moggy|Administrative Support Challenges|Freedom of Information Requests', 'moggy|Administrative Support Challenges|Freedom of Information Requests|Freedom of Information Requests', 'moggy|Administrative Support Challenges|Freedom of Information Requests|Freedom of Information Requests|Since... the post note enquiry... there’s been an increase in freedom of information requests from different organisations.', 'moggy|Administrative Support Challenges|Freedom of Information Requests|Freedom of Information Requests|Since... the post note enquiry... there’s been an increase in freedom of information requests from different organisations.|uni002_transcribed_anonymised_final_initial_codes.csv']","['moggy', 'Administrative Support Challenges', 'Freedom of Information Requests', 'Freedom of Information Requests', 'Since... the post note enquiry... there’s been an increase in freedom of information requests from different organisations.', 'uni002_transcribed_anonymised_final_initial_codes.csv']","['', 'moggy', 'moggy|Administrative Support Challenges', 'moggy|Administrative Support Challenges|Freedom of Information Requests', 'moggy|Administrative Support Challenges|Freedom of Information Requests|Freedom of Information Requests', 'moggy|Administrative Support Challenges|Freedom of Information Requests|Freedom of Information Requests|Since... the post note enquiry... there’s been an increase in freedom of information requests from different organisations.']","['', 'This theme captures the difficulties faced by researchers due to insufficient administrative support after clinical trials conclude. The lack of ongoing assistance can hinder project continuity and affect the overall success of research initiatives. Addressing these challenges is crucial for ensuring that trials are effectively managed and that researchers can focus on their scientific objectives without administrative burdens.', 'Notes the increasing burden of responding to freedom of information requests on the team, impacting resources and time management.', '', '', '']","[1, 1, 1, 1, 1, 1]"
2,"['moggy', 'moggy|Administrative Support Challenges', 'moggy|Administrative Support Challenges|Institutional Support', 'moggy|Administrative Support Challenges|Institutional Support|Institutional Support', 'moggy|Administrative Support Challenges|Institutional Support|Institutional Support|There’s an understanding of the significance of it... I could go to my management, I could go to the Executive Director.', 'moggy|Administrative Support Challenges|Institutional Support|Institutional Support|There’s an understanding of the significance of it... I could go to my management, I could go to the Executive Director.|uni002_transcribed_anonymised_final_initial_codes.csv']","['moggy', 'Administrative Support Challenges', 'Institutional Support', 'Institutional Support', 'There’s an understanding of the significance of it... I could go to my management, I could go to the Executive Director.', 'uni002_transcribed_anonymised_final_initial_codes.csv']","['', 'moggy', 'moggy|Administrative Support Challenges', 'moggy|Administrative Support Challenges|Institutional Support', 'moggy|Administrative Support Challenges|Institutional Support|Institutional Support', 'moggy|Administrative Support Challenges|Institutional Support|Institutional Support|There’s an understanding of the significance of it... I could go to my management, I could go to the Executive Director.']","['', 'This theme captures the difficulties faced by researchers due to insufficient administrative support after clinical trials conclude. The lack of ongoing assistance can hinder project continuity and affect the overall success of research initiatives. Addressing these challenges is crucial for ensuring that trials are effectively managed and that researchers can focus on their scientific objectives without administrative burdens.', 'Describes the level of support from higher management and the institution regarding research governance and trial registration processes.', '', '', '']","[1, 1, 1, 1, 1, 1]"
3,"['moggy', 'moggy|Administrative Support Challenges', 'moggy|Administrative Support Challenges|Institutional Support', 'moggy|Administrative Support Challenges|Institutional Support|Institutional Changes', 'moggy|Administrative Support Challenges|Institutional Support|Institutional Changes|She sent out a newsletter... recommending to ensure before recruitment that they register their studies.', 'moggy|Administrative Support Challenges|Institutional Support|Institutional Changes|She sent out a newsletter... recommending to ensure before recruitment that they register their studies.|uni004_transcribed_anonymised_final_initial_codes.csv']","['moggy', 'Administrative Support Challenges', 'Institutional Support', 'Institutional Changes', 'She sent out a newsletter... recommending to ensure before recruitment that they register their studies.', 'uni004_transcribed_anonymised_final_initial_codes.csv']","['', 'moggy', 'moggy|Administrative Support Challenges', 'moggy|Administrative Support Challenges|Institutional Support', 'moggy|Administrative Support Challenges|Institutional Support|Institutional Changes', 'moggy|Administrative Support Challenges|Institutional Support|Institutional Changes|She sent out a newsletter... recommending to ensure before recruitment that they register their studies.']","['', 'This theme captures the difficulties faced by researchers due to insufficient administrative support after clinical trials conclude. The lack of ongoing assistance can hinder project continuity and affect the overall success of research initiatives. Addressing these challenges is crucial for ensuring that trials are effectively managed and that researchers can focus on their scientific objectives without administrative burdens.', 'Describes the level of support from higher management and the institution regarding research governance and trial registration processes.', '', '', '']","[1, 1, 1, 1, 1, 1]"
4,"['moggy', 'moggy|Communication Gaps', 'moggy|Communication Gaps|Communication Issues', 'moggy|Communication Gaps|Communication Issues|Communication with Researchers', 'moggy|Communication Gaps|Communication Issues|Communication with Researchers|What we do is to make sure that it’s part of discussions with researchers very early on regarding specific projects.', 'moggy|Communication Gaps|Communication Issues|Communication with Researchers|What we do is to make sure that it’s part of discussions with researchers very early on regarding specific projects.|uni002_transcribed_anonymised_final_initial_codes.csv']","['moggy', 'Communication Gaps', 'Communication Issues', 'Communication with Researchers', 'What we do is to make sure that it’s part of discussions with researchers very early on regarding specific projects.', 'uni002_transcribed_anonymised_final_initial_codes.csv']","['', 'moggy', 'moggy|Communication Gaps', 'moggy|Communication Gaps|Communication Issues', 'moggy|Communication Gaps|Communication Issues|Communication with Researchers', 'moggy|Communication Gaps|Communication Issues|Communication with Researchers|What we do is to make sure that it’s part of discussions with researchers very early on regarding specific projects.']","['', 'This theme highlights the issues related to communication within the clinical trials framework, particularly concerning trial registration requirements and institutional policies. Effective communication is essential for ensuring that all stakeholders are informed and aligned, which can significantly impact the efficiency and success of clinical trials. Identifying and addressing these gaps is vital for improving trial management processes.', 'Identifies gaps in communication regarding trial registration requirements, institutional policies, and the importance of early discussions with researchers.', '', '', '']","[1, 1, 1, 1, 1, 1]"
5,"['moggy', 'moggy|Communication Gaps', 'moggy|Communication Gaps|Communication Issues', 'moggy|Communication Gaps|Communication Issues|Communication Gaps', 'moggy|Communication Gaps|Communication Issues|Communication Gaps|There is still that for me, disjointed as you said, you know, information for researchers.', 'moggy|Communication Gaps|Communication Issues|Communication Gaps|There is still that for me, disjointed as you said, you know, information for researchers.|uni004_transcribed_anonymised_final_initial_codes.csv']","['moggy', 'Communication Gaps', 'Communication Issues', 'Communication Gaps', 'There is still that for me, disjointed as you said, you know, information for researchers.', 'uni004_transcribed_anonymised_final_initial_codes.csv']","['', 'moggy', 'moggy|Communication Gaps', 'moggy|Communication Gaps|Communication Issues', 'moggy|Communication Gaps|Communication Issues|Communication Gaps', 'moggy|Communication Gaps|Communication Issues|Communication Gaps|There is still that for me, disjointed as you said, you know, information for researchers.']","['', 'This theme highlights the issues related to communication within the clinical trials framework, particularly concerning trial registration requirements and institutional policies. Effective communication is essential for ensuring that all stakeholders are informed and aligned, which can significantly impact the efficiency and success of clinical trials. Identifying and addressing these gaps is vital for improving trial management processes.', 'Identifies gaps in communication regarding trial registration requirements, institutional policies, and the importance of early discussions with researchers.', '', '', '']","[1, 1, 1, 1, 1, 1]"
6,"['moggy', 'moggy|Communication Gaps', 'moggy|Communication Gaps|Ethics Approval Process', 'moggy|Communication Gaps|Ethics Approval Process|Ethics Approval Process', 'moggy|Communication Gaps|Ethics Approval Process|Ethics Approval Process|We need to check whether all the approvals are in place before we can issue R&D approval.', 'moggy|Communication Gaps|Ethics Approval Process|Ethics Approval Process|We need to check whether all the approvals are in place before we can issue R&D approval.|uni004_transcribed_anonymised_final_initial_codes.csv']","['moggy', 'Communication Gaps', 'Ethics Approval Process', 'Ethics Approval Process', 'We need to check whether all the approvals are in place before we can issue R&D approval.', 'uni004_transcribed_anonymised_final_initial_codes.csv']","['', 'moggy', 'moggy|Communication Gaps', 'moggy|Communication Gaps|Ethics Approval Process', 'moggy|Communication Gaps|Ethics Approval Process|Ethics Approval Process', 'moggy|Communication Gaps|Ethics Approval Process|Ethics Approval Process|We need to check whether all the approvals are in place before we can issue R&D approval.']","['', 'This theme highlights the issues related to communication within the clinical trials framework, particularly concerning trial registration requirements and institutional policies. Effective communication is essential for ensuring that all stakeholders are informed and aligned, which can significantly impact the efficiency and success of clinical trials. Identifying and addressing these gaps is vital for improving trial management processes.', 'Explains involvement in the ethics approval process and its relation to trial registration, ensuring compliance with necessary regulations.', '', '', '']","[1, 1, 1, 1, 1, 1]"
7,"['moggy', 'moggy|Communication Gaps', 'moggy|Communication Gaps|Proactive Registration', 'moggy|Communication Gaps|Proactive Registration|Proactive Registration', 'moggy|Communication Gaps|Proactive Registration|Proactive Registration|With that lesson learned, very hard lesson learned.', 'moggy|Communication Gaps|Proactive Registration|Proactive Registration|With that lesson learned, very hard lesson learned.|uni004_transcribed_anonymised_final_initial_codes.csv']","['moggy', 'Communication Gaps', 'Proactive Registration', 'Proactive Registration', 'With that lesson learned, very hard lesson learned.', 'uni004_transcribed_anonymised_final_initial_codes.csv']","['', 'moggy', 'moggy|Communication Gaps', 'moggy|Communication Gaps|Proactive Registration', 'moggy|Communication Gaps|Proactive Registration|Proactive Registration', 'moggy|Communication Gaps|Proactive Registration|Proactive Registration|With that lesson learned, very hard lesson learned.']","['', 'This theme highlights the issues related to communication within the clinical trials framework, particularly concerning trial registration requirements and institutional policies. Effective communication is essential for ensuring that all stakeholders are informed and aligned, which can significantly impact the efficiency and success of clinical trials. Identifying and addressing these gaps is vital for improving trial management processes.', 'Highlights a proactive approach to registering trials based on past experiences, emphasizing the importance of early action.', '', '', '']","[1, 1, 1, 1, 1, 1]"
8,"['moggy', 'moggy|Regulatory and Compliance Issues', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges|Data Sharing Challenges', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges|Data Sharing Challenges|I think that’s where sponsors are getting a bit stuck at the moment with actually sharing it.', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges|Data Sharing Challenges|I think that’s where sponsors are getting a bit stuck at the moment with actually sharing it.|uni008_transcribed_anonymised_final_initial_codes.csv']","['moggy', 'Regulatory and Compliance Issues', 'Data Sharing Challenges', 'Data Sharing Challenges', 'I think that’s where sponsors are getting a bit stuck at the moment with actually sharing it.', 'uni008_transcribed_anonymised_final_initial_codes.csv']","['', 'moggy', 'moggy|Regulatory and Compliance Issues', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges|Data Sharing Challenges', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges|Data Sharing Challenges|I think that’s where sponsors are getting a bit stuck at the moment with actually sharing it.']","['', 'This theme encompasses the various challenges related to regulatory compliance in clinical trials, including ethics approval, data sharing, and the impact of external factors like Brexit. Navigating these complexities is crucial for maintaining the integrity of clinical research and ensuring that trials adhere to necessary legal and ethical standards. Understanding these issues helps in developing strategies for better compliance.', 'Discusses the complexities and challenges of sharing trial data while complying with GDPR and other regulations affecting transparency.', '', '', '']","[1, 1, 1, 1, 1, 1]"
9,"['moggy', 'moggy|Regulatory and Compliance Issues', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges|Transparency Importance', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges|Transparency Importance|For me it’s transparency and for information for the public especially of the researchers in general.', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges|Transparency Importance|For me it’s transparency and for information for the public especially of the researchers in general.|uni004_transcribed_anonymised_final_initial_codes.csv']","['moggy', 'Regulatory and Compliance Issues', 'Data Sharing Challenges', 'Transparency Importance', 'For me it’s transparency and for information for the public especially of the researchers in general.', 'uni004_transcribed_anonymised_final_initial_codes.csv']","['', 'moggy', 'moggy|Regulatory and Compliance Issues', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges|Transparency Importance', 'moggy|Regulatory and Compliance Issues|Data Sharing Challenges|Transparency Importance|For me it’s transparency and for information for the public especially of the researchers in general.']","['', 'This theme encompasses the various challenges related to regulatory compliance in clinical trials, including ethics approval, data sharing, and the impact of external factors like Brexit. Navigating these complexities is crucial for maintaining the integrity of clinical research and ensuring that trials adhere to necessary legal and ethical standards. Understanding these issues helps in developing strategies for better compliance.', 'Discusses the complexities and challenges of sharing trial data while complying with GDPR and other regulations affecting transparency.', '', '', '']","[1, 1, 1, 1, 1, 1]"
10,"['moggy', 'moggy|Regulatory and Compliance Issues', 'moggy|Regulatory and Compliance Issues|Impact of Brexit', 'moggy|Regulatory and Compliance Issues|Impact of Brexit|Impact of Brexit', 'moggy|Regulatory and Compliance Issues|Impact of Brexit|Impact of Brexit|We have also been in communication... we will still have access to EudraCT beyond the end of the year.', 'moggy|Regulatory and Compliance Issues|Impact of Brexit|Impact of Brexit|We have also been in communication... we will still have access to EudraCT beyond the end of the year.|uni002_transcribed_anonymised_final_initial_codes.csv']","['moggy', 'Regulatory and Compliance Issues', 'Impact of Brexit', 'Impact of Brexit', 'We have also been in communication... we will still have access to EudraCT beyond the end of the year.', 'uni002_transcribed_anonymised_final_initial_codes.csv']","['', 'moggy', 'moggy|Regulatory and Compliance Issues', 'moggy|Regulatory and Compliance Issues|Impact of Brexit', 'moggy|Regulatory and Compliance Issues|Impact of Brexit|Impact of Brexit', 'moggy|Regulatory and Compliance Issues|Impact of Brexit|Impact of Brexit|We have also been in communication... we will still have access to EudraCT beyond the end of the year.']","['', 'This theme encompasses the various challenges related to regulatory compliance in clinical trials, including ethics approval, data sharing, and the impact of external factors like Brexit. Navigating these complexities is crucial for maintaining the integrity of clinical research and ensuring that trials adhere to necessary legal and ethical standards. Understanding these issues helps in developing strategies for better compliance.', 'Reflects on how Brexit has influenced trial management processes, regulatory changes, and access to clinical trial databases, affecting overall operations.', '', '', '']","[1, 1, 1, 1, 1, 1]"
